timestamp,open,high,low,close,volume
2019-10-22,5.2300,5.2400,5.1800,5.1800,18213839
2019-10-21,5.2500,5.2700,5.1800,5.2000,18426440
2019-10-18,5.2300,5.2350,5.1700,5.2000,34741647
2019-10-17,5.2800,5.2800,5.1500,5.2300,36381028
2019-10-16,5.0800,5.1000,5.0400,5.0900,17210471
2019-10-15,4.9900,5.0500,4.9800,5.0100,17325796
2019-10-14,5.0100,5.0300,4.9500,4.9500,26577204
2019-10-11,5.1100,5.1200,5.0000,5.0200,30406623
2019-10-10,4.9600,4.9800,4.9000,4.9400,26254724
2019-10-09,4.9400,4.9400,4.8900,4.9100,19139992
2019-10-08,4.9500,4.9600,4.8800,4.9000,14812522
2019-10-07,4.9000,4.9600,4.8900,4.9100,14035279
2019-10-04,4.8700,4.8900,4.8400,4.8900,13612375
2019-10-03,4.8100,4.8700,4.7500,4.8400,23307518
2019-10-02,4.8700,4.8700,4.8000,4.8200,31333301
2019-10-01,5.0600,5.0600,4.8700,4.9100,54154036
2019-09-30,5.0600,5.1057,5.0300,5.0600,16060831
2019-09-27,5.0500,5.0900,4.9900,5.0400,20225411
2019-09-26,5.0500,5.0500,4.9700,4.9900,15997606
2019-09-25,5.0500,5.0800,5.0100,5.0700,15817844
2019-09-24,5.1500,5.1600,5.0900,5.1000,25986217
2019-09-23,5.1600,5.1800,5.1400,5.1800,17473697
2019-09-20,5.2500,5.3250,5.2500,5.2900,23973612
2019-09-19,5.2200,5.2500,5.1500,5.1500,14188990
2019-09-18,5.1300,5.1700,5.1200,5.1400,11702717
